name,address,latitude,longitude
"51°07'36.1""N 3°10'40.5""E","51.1266855,3.1779054",51.1266855,3.1779054
Autocentrum Lochem B.V.,Autocentrum Lochem B.V.,52.292978,6.4209194
Bajeskwartier,"Bajeskwartier, Bijlmerbajes, H.J.E. Wenckebachweg 48, 1096 AH Amsterdam, 네덜란드",52.337133,4.925117
Belvédère de Meudon,"Belvédère de Meudon, 5b Rue Basse de la Terrasse, 92190 Meudon, 프랑스",48.8219509,2.2279357
Bonjour Tristesse (Wohnhaus Schlesisches Tor),"Bonjour Tristesse (Wohnhaus Schlesisches Tor), Falckensteinstraße 4, 10997 Berlin-Bezirk Friedrichshain-Kreuzberg, 독일",52.4999901,13.4435471
Centre Bit Raiguer - IDI,"Centre Bit Raiguer - IDI, Carrer Selleters, 25, 07300 Inca, Illes Balears, 스페인",39.7127799,2.9073555
Church of God the Merciful Father,"Church of God the Merciful Father, Piazza Largo Terzo Millennio, 8, Via Francesco Tovaglieri, 194, 00155 Roma RM, 이탈리아",41.8823773,12.5854664
Dali Museum,"Dali Museum, 11 Rue Poulbot, 75018 Paris, 프랑스",48.8865119,2.3398718
"Der Turm, Mario Botta","Der Turm, Mario Botta",45.9172382,8.9693083
Edith Farnsworth House,"Edith Farnsworth House, 14520 River Rd, Plano, IL 60545 미국",41.6362945,-88.5297294
Elbphilharmonie Hamburg,"Elbphilharmonie Hamburg, Platz d. Deutschen Einheit 4, 20457 Hamburg, 독일",53.5413305,9.9844647
Faverges 1,"Faverges 1, 2613 Villeret, 스위스",47.1568974,7.0127196
Goetz Collection,"Goetz Collection, Oberföhringer Str. 103, 81925 München-Bogenhausen, 독일",48.1660304,11.6230444
Grundtvigs Kirke,"Grundtvigs Kirke, På Bjerget 14B, 2400 København, 덴마크",55.7166277,12.534012
"Gund Hall, GSD","Gund Hall, GSD, Harvard University, Quincy St Gund Hall, Cambridge, MA 02138 미국",42.3759266,-71.1135575
Harvard Art Museums,"Harvard Art Museums, 32 Quincy St, Cambridge, MA 02138 미국",42.3740898,-71.1143582
Hoki Museum,"Hoki Museum, 3 Chome-15 Asumigaokahigashi, Midori Ward, Chiba, 267-0067 일본",35.5223083,140.2796159
Holy Redeemer Church,"Holy Redeemer Church, C. Volcán Estromboli, 32, 38296 La Laguna, Santa Cruz de Tenerife, 스페인",28.4612423,-16.3019324
Igualada Cemetery,"Igualada Cemetery, Carrer del Països Baixos, 23, 08700 Igualada, Barcelona, 스페인",41.5922326,1.6372484
James R. Thompson Center,"James R. Thompson Center, 100 W Randolph St, Chicago, IL 60601 미국",41.8851266,-87.6316896
Jérôme Seydoux-Pathé Foundation,"Jérôme Seydoux-Pathé Foundation, 73 Av. des Gobelins, 75013 Paris, 프랑스",48.8335553,2.3548689
Kunst- und Ausstellungshalle der Bundesrepublik Deutschland,"Kunst- und Ausstellungshalle der Bundesrepublik Deutschland, Helmut-Kohl-Allee 4, 53113 Bonn, 독일",50.7146631,7.1222973
Louvre-Lens Museum,"Louvre-Lens Museum, 99 Rue Paul Bert, 62300 Lens, 프랑스",50.4308738,2.80437
MAXXI - National Museum of 21st Century Art,"MAXXI - National Museum of 21st Century Art, Via Guido Reni, 4a, 00196 Roma RM, 이탈리아",41.9282379,12.4668577
MUSE - Science Museum,"MUSE - Science Museum, Corso del Lavoro e della Scienza, 3, 38122 Trento TN, 이탈리아",46.0624513,11.1149741
Maison Carrée,"Maison Carrée, Pl. de la Maison Carrée, 30000 Nîmes, 프랑스",43.8381909,4.3561146
Mariendom,"Mariendom, Elberfelder Str. 12, 42553 Velbert-Neviges, 독일",51.3128209,7.0871992
Menninger Found Boundary,"Menninger Found Boundary, Topeka, KS 66606 미국",39.0571611,-95.7190396
Nørrelandskirken,"Nørrelandskirken, Døesvej 1, 7500 Holstebro, 덴마크",56.3650068,8.6109419
PA Consulting Global Innovation and Technology Centre,"PA Consulting Global Innovation and Technology Centre, Back Ln, Melbourn, Royston SG8 6DP 영국",52.0752997,0.0118103
Phaeno Science Center,"Phaeno Science Center, Willy-Brandt-Platz 1, 38440 Wolfsburg, 독일",52.4288531,10.7904745
Piscina das Marés,Piscina das Marés,41.1927777,-8.7074999
Porto School of Architecture,"Porto School of Architecture, Via Panorâmica S/N |, 4150-564 Porto, 포르투갈",41.1503022,-8.6369821
Rodin Museum Meudon,"Rodin Museum Meudon, 19 Av. Auguste Rodin, 92190 Meudon, 프랑스",48.814692,2.2517668
Sainte-Chapelle,"Sainte-Chapelle, 10 Bd du Palais, 75001 Paris, 프랑스",48.855375,2.3449609
Salk Institute for Biological Studies,"Salk Institute for Biological Studies, 10010 N Torrey Pines Rd, La Jolla, CA 92037 미국",32.8873915,-117.2453427
Sceners Gallery,"Sceners Gallery, 88 Bd de Ménilmontant, 75020 Paris, 프랑스",48.8647435,2.3860365
Schule Leutschenbach,"Schule Leutschenbach, Saatlenfussweg 3, 8050 Zürich, 스위스",47.4135881,8.5628616
Shah Abbas Mosque,"Isfahan Province Isfahan ضلع جنوبی, میدان, No. No, Shah Abbas Mosque, 이란",32.6551665,51.6780497
Siège du Parti communiste français,"Siège du Parti communiste français, 2 Pl. du Colonel Fabien, 75019 Paris, 프랑스",48.8779062,2.3719945
Tchoban Foundation - Museum of architectural drawing,"Tchoban Foundation - Museum of architectural drawing, Christinenstraße 18a, 10119 Berlin-Bezirk Pankow, 독일",52.5321128,13.4099708
The Broken Arm,"The Broken Arm, 12 Rue Perrée, 75003 Paris, 프랑스",48.864666,2.361521
Utrecht Town Hall Rehabilitation,"Utrecht Town Hall Rehabilitation, Ganzenmarkt 3, 3512 GZ Utrecht, 네덜란드",52.0920315,5.1193112
