name,address,latitude,longitude
10 Diego Vitagliano Pizzeria - Bagnoli,"10 Diego Vitagliano Pizzeria - Bagnoli, Via Nuova Agnano, 1, 80125 Napoli NA, 이탈리아",40.8170977,14.1756869
Big love,"Big love, 30 Rue Debelleyme, 75003 Paris, 프랑스",48.8620122,2.3637066
Bouillon Chartier Montparnasse,"Bouillon Chartier Montparnasse, 59 Bd du Montparnasse, 75006 Paris, 프랑스",48.844274,2.3232745
Bouillon République,"Bouillon République, 39 Bd du Temple, 75003 Paris, 프랑스",48.8661074,2.3646338
Brasserie Martin,"Brasserie Martin, 24 Rue Saint-Ambroise, 75011 Paris, 프랑스",48.8626617,2.3786846
Casa Di Mario,"Casa Di Mario, 132 Rue du Bac, 75007 Paris, 프랑스",48.8514598,2.3235353
Caseificio Borderi,"Caseificio Borderi, Via Emmanuele de Benedictis, 6, 96100 Siracusa SR, 이탈리아",37.0654701,15.293544
Chez Alain Miam Miam,"Chez Alain Miam Miam, 26 Rue Charlot, 75003 Paris, 프랑스",48.8622419,2.3619192
Chez Janou,"Chez Janou, 2 Rue Roger Verlomme, 75003 Paris, 프랑스",48.8567159,2.3671983
Da Jolly,"Da Jolly, P.zza Vicerè Caracciolo, 242, 90133 Palermo PA, 이탈리아",38.1172357,13.3639159
Felice a Testaccio | ROMA,"Felice a Testaccio | ROMA, Via Mastro Giorgio, 29, 00153 Roma RM, 이탈리아",41.8785303,12.4774325
Formaticus - Bar à fromages / Fromagerie,,48.8888124,2.3180049
Higuma,,48.8665886,2.3357844
LUCIANO Cucina Italiana - Roma,"LUCIANO Cucina Italiana - Roma, Piazza del Teatro di Pompeo, 18, 00186 Roma RM, 이탈리아",41.8962467,12.4729273
La Taverne de Montmartre,"La Taverne de Montmartre, 25 Rue Gabrielle, 75018 Paris, 프랑스",48.8857735,2.340414
La Taverne de Zhao,,48.8689464,2.336424
Le Café du Commerce,"Le Café du Commerce, 51 Rue du Commerce, 75015 Paris, 프랑스",48.846418,2.2954771
Le Colimaçon,"Le Colimaçon, 44 Rue Vieille du Temple, 75004 Paris, 프랑스",48.8579504,2.3579993
Le Florentin,"Le Florentin, 10 Rue Saint-Florentin, 75001 Paris, 프랑스",48.86761,2.3244488
Le Petit Bouillon Vavin,,48.841937,2.3305309
Le Petit Rétro,"Le Petit Rétro, 5 Rue Mesnil, 75116 Paris, 프랑스",48.8687918,2.2848688
Le Quincy,"Le Quincy, 28 Av. Ledru Rollin, 75012 Paris, 프랑스",48.8470716,2.3701354
Les Deux Magots,,48.854052,2.3331062
Lou Cantou,"Lou Cantou, Accès par le 61 rue de Provence, 35 Cité d'Antin, 75009 Paris, 프랑스",48.8739898,2.3337559
Marin Montagut,,48.848174,2.3315587
Ober Mamma,"Ober Mamma, 107 Bd Richard-Lenoir, 75011 Paris, 프랑스",48.8644739,2.3701387
Pane Condito,"Pane Condito, S.s.114, km 120, 96011 Agnone Bagni SR, 이탈리아",37.3070848,15.0949959
Pastificio Guerra,"Pastificio Guerra, V. della Croce, 8, 00187 Roma RM, 이탈리아",41.9064463,12.4809389
Printemps Haussmann,"Printemps Haussmann, Boulevard Haussmann, 파리 프랑스",48.8737795,2.3281392
Ristorante Fortunato al Pantheon,"Ristorante Fortunato al Pantheon, Via del Pantheon, 55, 00186 Roma RM, 이탈리아",41.8998024,12.4769102
Roscioli Salumeria con Cucina,"Roscioli Salumeria con Cucina, Via dei Giubbonari, 21, 00186 Roma RM, 이탈리아",41.894256,12.4742417
Septime La Cave,"Septime La Cave, 3 Rue Basfroi, 75011 Paris, 프랑스",48.853728,2.3802034
The Butcher of Paris,"The Butcher of Paris, 39 Rue de Bretagne, 75003 Paris, 프랑스",48.8629432,2.3621852
Tonnarello,"Tonnarello, V. della Paglia, 1/2/3, 00153 Roma RM, 이탈리아",41.889804,12.4693004
Trattoria Da Enzo,"Trattoria Da Enzo, Via dei Vascellari, 29, 00153 Roma RM, 이탈리아",41.8880847,12.4778554
Trattoria Sapori Di Casa,"Trattoria Sapori Di Casa, Viale dell'Università, 17, 00185 Roma RM, 이탈리아",41.9033791,12.5083245
华味居 Restaurant Chinese Huaweiju,"华味居 Restaurant Chinese Huaweiju, Via Filippo Turati, 9, 00185 Roma RM, 이탈리아",41.8991283,12.5014873
삼부자,,48.8763821,2.339655
카자 드 샤 다 보아 노바,"카자 드 샤 다 보아 노바 Av. Liberdade 1681, 4450-718 Leça da Palmeira, 포르투갈",41.2029074,-8.7150005
